ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: _wfg_single_gift_enabled","Мета: _wfg_single_gift_allowed","Мета: _yst_prominent_words_version","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_focuskeywords","Мета: _yoast_wpseo_keywordsynonyms","Мета: _wfg_gift_product","Мета: _download_type","Мета: cbc-bgposition"
371,simple,,"Ролл ""Чили Шри""",1,0,visible,"Рис, нори, креветка, угорь, темпура. Вес 225 г.",,,,taxable,,1,,,0,0,,,,,0,,,105,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-f01994de0d2b6abcf7e14f049f82a37c4696df8b5cc5b413465e87bd9e6b25f8_9a9e7248.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
372,simple,,"Ролл ""Горячий Банзай""",1,0,visible,"Рис, нори, угорь, лосось, авокадо, крем-сыр, икра тобика, темпура. Вес 200г.",,,,taxable,,1,,,0,0,,,,,0,,,105,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-ee2497a60fc82e867521343c0188043775ae438fb9f31b3af3641bcc40c5808f_20ae5e17.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
374,simple,,"Ролл ""Окунь""",1,0,visible,"Рис, нори, крем-сыр, окунь, огурец, гриб шитаке. Вес 245г.",,,,taxable,,1,,,0,0,,,,,0,,,83,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-5665fc70d9fcdf3b7cedf264fd608af9f0e1aa8ec4b135714720dbda7ee03cd1_8856f0dd-—-копия.jpg,,,,,,,,,0,,1,1,,30,[],"[""""]",,,
376,simple,,"Маки ""Лосось""",1,0,visible,"Рис, нори, лосось. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,55,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-503d1c270a72d3cde89c7630407ce1655f8591bcbfc085921deeaf8c096744fe_32bd1950.jpg,,,,,,,,,0,,1,,,,,,,,
383,simple,,"Маки ""Креветка""",1,0,visible,"Рис, нори, креветка. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,45,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-0b84d38e3c99ce0347bfd1e65f773d52f7a6d804908db27ba057d77f203873d0_7d3f88ee.jpg,,,,,,,,,0,,1,,,,,,,,
385,simple,,"Маки ""Авокадо""",1,0,visible,"Рис, нори, авокадо. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,36,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-d838cc4aa5d64fed980a89830d5d3ffba2c10ff2cf29fd4b6d9462c0e1a6c608_91652a5b.jpg,,,,,,,,,0,,1,,,,,,,,
387,simple,,"Маки ""Угорь""",1,0,visible,"Рис, нори, угорь. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,70,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-a6ca67b3a6eef109f4e0f570097aab34775cddb0ce2e7887a8062dbf375210cb_df1f0271.jpg,,,,,,,,,0,,1,,,,,,,,
388,simple,,"Маки ""Окунь""",1,0,visible,"Рис, нори, окунь. Рис 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,48,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-f6b52e224554dc24812340ff17582d3fa5d591cff3bf962ed4f68d12ef4c3e00_d4508099.jpg,,,,,,,,,0,,1,,,,,,,,
389,simple,,"Маки ""Огурец""",1,0,visible,"Рис, нори, огурец, кунжут. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,35,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-08403feab425041ffe723a25de2f8bf899dec478de0085f3ffa309c21336f7e3_556a6020.jpg,,,,,,,,,0,,1,,,,,,,,
390,simple,,"Маки ""Тунец""",1,0,visible,"Рис, нори, тунец. Вес 110 г.",,,,taxable,,1,,,0,0,,,,,1,,,68,Роллы,,,http://ba.zp.ua/wp-content/uploads/2019/04/0-02-05-7964eae1b45e4dab155f0b65c1b9cb51c7d884dee5557e9d1f14761b55bb08b6_7132f193.jpg,,,,,,,,,0,,1,,,,,,,,
